season,route_id,route_name,train,direction_id,day_type_id,day_type_name,stop_time,stop_id,stopsequence,average_ons,average_offs,average_load,objectid,hour,date,month,is_weekend
Fall 2024,CR-Providence,Providence/Stoughton Line,813,0,day_type_01,weekday,2024-01-01 11:26:00,Ruggles,3.0,11,4,65,14688,11,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,752,1,day_type_01,weekday,2024-01-01 17:07:00,South Station,9.0,0,28,0,14689,17,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,757,0,day_type_01,weekday,2024-01-01 19:40:00,Morton Street,6.0,7,10,56,14690,19,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,822,1,day_type_01,weekday,2024-01-01 14:29:00,South Station,10.0,0,38,0,14691,14,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,808,1,day_type_01,weekday,2024-01-01 07:16:00,Pawtucket/Central Falls,2.0,61,1,229,14692,7,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,760,1,day_type_01,weekday,2024-01-01 23:16:00,Endicott,7.0,0,0,1,14693,23,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,813,0,day_type_01,weekday,2024-01-01 11:37:00,Route 128,4.0,3,8,60,14694,11,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,753,0,day_type_01,weekday,2024-01-01 16:05:00,South Station,1.0,373,0,373,14695,16,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,757,0,day_type_01,weekday,2024-01-01 19:41:00,Blue Hill Avenue,7.0,0,6,50,14696,19,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,823,0,day_type_01,weekday,2024-01-01 15:52:00,South Station,1.0,330,0,330,14697,15,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,808,1,day_type_01,weekday,2024-01-01 07:21:00,South Attleboro,3.0,9,0,238,14698,7,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,760,1,day_type_01,weekday,2024-01-01 23:20:00,Readville,8.0,0,0,1,14699,23,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,813,0,day_type_01,weekday,2024-01-01 11:43:00,Canton Junction,5.0,1,9,52,14700,11,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,753,0,day_type_01,weekday,2024-01-01 16:10:00,Back Bay,2.0,97,15,455,14701,16,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,753,0,day_type_01,weekday,2024-01-01 16:14:00,Ruggles,3.0,115,16,554,14702,16,2024-01-01,1,0
